model_1_proba,model_2_proba,labels
0.2361219,0.005884,0
0.99874103,0.999004,1
0.25420028,0.006271,0
0.9958066,0.998538,1
0.99757147,0.999044,1
0.012498289,0.001156,0
3.908107e-06,0.002831,0
4.9115743e-06,0.001041,0
0.99885404,0.999236,1
0.9998218,0.999395,1
0.9999606,0.999285,1
0.95336664,0.999318,1
0.053913087,0.003076,0
4.5152516e-05,0.048558,0
0.98544765,0.779873,0
0.9998373,0.999242,1
0.029676586,0.002196,0
1.1424861e-05,0.001238,0
0.8182432,0.050301,0
6.5320244e-05,0.256363,0
0.0012365878,0.001415,0
2.1562404e-05,0.001658,0
0.00016197562,0.003704,0
0.9999698,0.998953,1
3.146681e-05,0.001625,0
0.99941444,0.998877,1
0.98836553,0.999405,1
0.99994636,0.998858,1
0.0455603,0.99552,0
0.99949634,0.999337,1
2.6766169e-05,0.001463,0
0.8291739,0.007554,0
2.897721e-06,0.016394,0
0.9993892,0.998994,1
0.10014483,0.215015,0
0.000169456,0.003546,0
0.018318743,0.001883,0
0.9861832,0.999157,1
0.9958515,0.993539,1
0.0031074584,0.026261,0
0.004170388,0.002195,0
0.99903625,0.999119,1
0.27849388,0.939839,1
0.005802244,0.003502,0
9.934023e-05,0.001005,0
0.0001656115,0.002572,0
0.85639346,0.00992,0
0.91921693,0.075418,1
0.96120846,0.371412,1
0.98014605,0.999399,1
0.004147321,0.001119,0
0.96845734,0.001883,0
0.0013235807,0.004261,0
0.9999345,0.998519,1
0.8997834,0.000969,0
1.8074214e-05,0.00082,0
0.19669524,0.021629,0
0.0031551123,0.895645,0
2.596064e-06,0.001176,0
0.9976213,0.999169,1
0.9998604,0.999343,1
0.9999907,0.999192,1
5.22074e-06,0.00261,0
0.99895334,0.994727,1
5.4171498e-05,0.001381,0
0.9999939,0.999345,1
0.9971041,0.850601,1
0.26962292,0.127792,0
0.12525335,0.998822,1
0.9994958,0.267887,0
0.80656433,0.991297,0
0.000949949,0.001738,0
0.017540246,0.896213,1
0.99942565,0.999309,1
0.9998615,0.999282,1
0.9730245,0.998728,1
0.9901012,0.680092,1
0.99755156,0.999238,1
0.015482426,0.00459,0
0.9984154,0.999189,1
0.004004687,0.001237,0
0.029081166,0.010842,0
0.68253267,0.999335,1
0.14786449,0.021742,0
0.00024122,0.001472,0
0.053702265,0.994889,1
1.5672927e-05,0.001176,0
5.399191e-05,0.001515,0
0.9615215,0.86688,1
0.0004015267,0.001313,0
0.0029198825,0.330752,1
0.0032050014,0.002519,0
0.003254801,0.005159,0
0.9889562,0.999231,1
0.99991614,0.999382,1
0.9979341,0.999143,1
0.992732,0.963773,0
0.043361753,0.041032,0
0.9410701,0.99899,1
0.99952817,0.998934,1
0.0039413273,0.04936,0
0.05682957,0.004222,0
0.99999523,0.999113,1
0.998505,0.999115,1
0.108898014,0.235636,0
0.9915463,0.999351,1
0.0036002696,0.001685,0
0.998593,0.999311,1
0.018611908,0.013188,0
3.9159066e-05,0.000749,0
0.69847184,0.001253,0
0.34680372,0.040882,0
0.999261,0.999439,1
0.74277467,0.006774,0
0.99953866,0.998938,1
0.046824455,0.014221,0
0.9850804,0.9993,1
0.0012046695,0.030967,0
0.99996656,0.999148,1
0.00081565976,0.002436,0
0.99995023,0.999014,1
1.6990572e-05,0.001853,0
0.30424035,0.002812,1
0.9978479,0.999233,1
0.90019953,0.100772,0
0.99992585,0.999032,1
9.527666e-06,0.000771,0
0.99487066,0.999272,1
0.5179434,0.074209,1
0.93537205,0.929145,1
0.86597574,0.322628,1
0.027708948,0.001652,0
0.9989168,0.999003,1
0.021006316,0.081534,0
0.995704,0.993929,1
0.99994123,0.999287,1
0.00022667646,0.002932,0
0.017543316,0.004599,0
0.8980119,0.885204,1
0.99312544,0.999289,1
8.5371044e-05,0.001475,0
0.0029824674,0.001159,0
0.01210627,0.142292,0
0.8037338,0.998931,1
0.42488268,0.093993,0
0.99632835,0.998679,1
0.75248253,0.996555,0
0.0059501827,0.010654,0
0.9999474,0.994165,1
0.0045112967,0.002553,0
0.0020767748,0.033456,0
0.019454569,0.004618,0
0.0052192807,0.003868,0
0.99886096,0.999353,1
0.99543554,0.94315,1
0.0036767125,0.00258,0
0.99843067,0.999068,1
0.17362562,0.001845,0
0.8127645,0.998949,1
0.99549353,0.993933,1
0.99999696,0.998969,1
5.486826e-07,0.001206,0
0.018197566,0.001372,0
0.0004118383,0.009191,0
0.002579093,0.00243,0
2.128886e-06,0.001907,0
0.8139107,0.839049,1
0.99922705,0.99933,1
0.0050293505,0.001523,0
0.9898304,0.998869,1
0.8952228,0.999156,0
0.0015915036,0.0053,0
0.96652925,0.888757,0
0.0045349,0.001116,0
0.94023347,0.998713,0
0.005562037,0.088303,0
2.353896e-05,0.000942,0
0.0065203905,0.006126,0
0.9464905,0.999201,1
0.998947,0.999082,1
0.9999886,0.999228,1
0.00019782782,0.001509,0
0.96300465,0.999108,1
0.72221637,0.999326,1
0.00026327372,0.001301,0
0.012310505,0.008615,0
0.07868019,0.003332,0
1.9909736e-05,0.001833,0
0.2653952,0.055518,0
0.030147761,0.998497,1
0.038531482,0.00758,0
0.050409675,0.011412,0
0.9991046,0.999175,1
0.0026558936,0.002306,0
0.9992889,0.999054,1
0.9889387,0.999209,1
0.99907416,0.99896,1
0.02661565,0.004263,0
5.9209848e-05,0.006379,0
4.8549522e-05,0.001266,0
0.26341695,0.67724,1
0.00072193146,0.946413,0
0.95908225,0.999164,1
0.9582586,0.059322,0
0.00021776557,0.681518,0
0.4175548,0.118173,1
0.99947786,0.998697,1
0.9995497,0.999424,1
0.4173326,0.169834,0
0.2962858,0.534287,1
0.9999762,0.998893,1
0.98184884,0.393964,0
0.005351156,0.005172,0
0.9868826,0.998649,1
0.056192636,0.001118,0
1.3495493e-05,0.001754,0
0.494617,0.002376,0
0.0005565882,0.002229,0
0.7811022,0.481623,1
0.954985,0.960263,1
0.89524275,0.990616,1
0.986943,0.998919,1
0.9999429,0.999218,1
0.9988265,0.9976,1
0.045298487,0.244118,0
0.037390083,0.002132,0
0.9998937,0.9992,1
0.03908053,0.005338,1
3.716678e-05,0.001334,0
0.99998647,0.999086,1
0.9981713,0.999004,1
0.71856505,0.007445,0
0.9564234,0.999379,1
0.9671726,0.999435,1
0.99999714,0.999346,1
0.9771385,0.998877,1
0.02175501,0.001463,0
0.99542975,0.999359,1
0.97556084,0.979642,1
0.0067358315,0.003912,0
0.9371002,0.998695,1
0.99998415,0.998882,1
0.9028126,0.725165,1
0.82765,0.001824,0
0.00026106834,0.00252,0
0.99009943,0.998852,1
0.9999993,0.999164,1
1.1591592e-05,0.00107,0
0.8499209,0.511289,1
0.9986505,0.993741,1
0.018276244,0.004197,0
0.0057534873,0.468237,0
0.33439732,0.998806,1
0.9999229,0.999129,1
0.9707694,0.988585,1
0.0007662177,0.001589,0
0.9383261,0.874521,0
0.014128327,0.004299,0
0.9999538,0.999153,1
0.9987798,0.999094,1
0.9984959,0.799377,1
0.07314184,0.001092,0
0.99857664,0.997875,1
0.018176407,0.032367,0
0.99784136,0.999435,1
0.0010657609,0.00374,0
0.1357966,0.001988,0
0.0011128485,0.001398,0
0.99975616,0.999415,1
0.0025029182,0.002744,0
0.9993938,0.999399,1
0.99991786,0.999105,1
0.9998197,0.999281,1
0.98971033,0.943119,1
0.26290563,0.07357,0
0.1567342,0.039341,0
2.4208608e-05,0.000752,0
1.7068705e-05,0.009877,0
0.0018953085,0.000792,0
0.99999034,0.998885,1
0.005144,0.001139,0
0.002365917,0.00701,0
0.00024023652,0.001326,0
1.5287527e-05,0.001194,0
0.9999248,0.999243,1
0.9960065,0.065849,0
0.47849116,0.027843,0
0.21757823,0.037886,0
0.0008676648,0.010696,0
1.0,0.999363,1
0.99985117,0.999352,1
0.9999819,0.999303,1
2.0359172e-05,0.000944,0
0.99981046,0.999235,1
0.99132705,0.999297,1
0.937276,0.999274,0
0.332803,0.029413,0
0.00020349026,0.001377,0
0.00012627244,0.001185,0
0.994851,0.999338,1
0.99995863,0.9992,1
3.3682536e-06,0.001195,0
0.94710296,0.999169,1
0.010623395,0.002744,0
0.9852815,0.999343,1
0.9547127,0.99615,1
0.9997214,0.999242,1
0.00011360926,0.000924,0
0.9904549,0.999009,1
0.4311819,0.983264,1
0.8372067,0.943683,1
1.5113694e-06,0.001055,0
0.0012233257,0.001968,0
0.2353828,0.025322,0
0.99999285,0.998742,1
0.00029319525,0.002457,0
0.999795,0.999341,1
0.98328555,0.999296,1
0.9927367,0.999053,1
0.99989665,0.999168,1
0.9996606,0.998945,1
0.9969126,0.999256,1
0.9342859,0.057066,0
0.9992956,0.998538,1
0.12849924,0.956568,1
0.99999523,0.98582,1
0.9999571,0.999348,1
0.99906325,0.999314,1
0.9977783,0.999372,1
0.035910547,0.999347,0
3.332786e-06,0.00105,0
0.9997661,0.998567,1
0.99547863,0.999223,1
0.8390378,0.996679,1
0.0007519722,0.00869,0
0.0006965995,0.003619,0
0.00036242604,0.001148,0
0.99413645,0.998164,1
0.07750264,0.00397,0
0.9963453,0.99918,1
0.8950099,0.029781,0
0.98706853,0.99942,1
0.00021615624,0.001483,0
0.9999767,0.999,1
0.1148411,0.99585,1
0.111694396,0.313788,0
0.58559203,0.053108,0
0.81412596,0.003472,1
0.0007671416,0.0076,0
0.9493091,0.972581,0
0.2837953,0.693238,1
0.9994198,0.998688,1
0.99920976,0.999096,1
6.589631e-05,0.001113,0
0.9999976,0.999362,1
0.0005649328,0.001776,0
0.07840228,0.007311,0
0.88671625,0.001747,0
0.16071051,0.012547,0
0.9999325,0.998959,1
0.0012257397,0.009612,0
0.0008775592,0.999223,1
0.99989927,0.999278,1
0.0015029907,0.012581,0
0.7845106,0.126596,0
0.58479846,0.012933,0
0.0002760291,0.001205,0
0.00010527058,0.001519,0
0.9999654,0.999362,1
0.016306728,0.001899,0
9.057374e-05,0.018788,0
0.9996303,0.99916,1
0.9981054,0.703973,1
0.9993988,0.999075,1
0.0004671812,0.008321,0
0.9998644,0.999114,1
0.99978864,0.999368,1
2.7327475e-05,0.001874,0
0.9974235,0.999194,1
2.0191558e-06,0.001084,0
0.9999622,0.999036,1
0.0048496127,0.005695,0
0.025233805,0.000792,0
0.9987972,0.999274,1
0.00017949939,0.001898,0
0.99969876,0.99925,1
0.00014543533,0.001912,0
0.91414464,0.00844,0
0.0008099377,0.001698,0
0.0014855862,0.001045,0
8.443158e-05,0.004066,0
0.9501916,0.999167,1
0.026235372,0.010711,0
0.5084665,0.00675,1
0.052734673,0.063687,0
0.9394499,0.500084,1
0.0009650588,0.000887,0
1.7952116e-06,0.001604,0
0.03952691,0.002458,0
0.22693586,0.026347,0
0.0087376535,0.002758,0
0.00014713407,0.001262,0
0.9986248,0.999237,1
0.9967671,0.999397,1
7.552442e-05,0.05012,0
0.93550944,0.999004,1
0.5710276,0.010008,1
0.8281813,0.110312,1
0.12175444,0.007388,0
0.9999645,0.999191,1
0.0663183,0.23484,0
0.0036715567,0.001011,0
0.95061934,0.999347,1
0.9768518,0.999245,1
0.99967563,0.999335,1
0.6017558,0.775734,0
0.9998492,0.998969,1
0.0052295625,0.001401,0
0.99999106,0.999396,1
0.00025868416,0.001406,0
0.020722657,0.004027,0
4.011307e-06,0.000905,0
1.7179247e-05,0.001537,0
0.00021615624,0.001942,0
0.0015154779,0.001274,0
0.998436,0.999037,1
0.97704613,0.919286,1
0.01173085,0.004238,0
0.9993013,0.997513,1
0.9999631,0.999082,1
9.831049e-05,0.001148,0
0.85937,0.999161,1
2.9898943e-05,0.000729,0
0.005232841,0.016057,0
0.9997713,0.999399,1
0.0020875037,0.001843,0
0.99798465,0.993815,1
0.000106850675,0.001442,0
0.900023,0.995688,1
0.9950367,0.99583,1
0.040884286,0.999159,1
0.00016832352,0.007603,0
0.9999923,0.998889,1
5.619554e-06,0.00217,0
0.96957505,0.204363,1
0.32400286,0.016853,0
0.0088124275,0.003456,0
0.99933505,0.998961,1
0.9996977,0.99916,1
0.99999934,0.998997,1
0.0018441081,0.001798,0
0.9982164,0.998739,1
0.9512056,0.999162,1
0.99235934,0.999089,1
0.87831205,0.999394,1
0.9994607,0.99917,1
0.9883218,0.887436,1
0.99943376,0.99929,1
0.99342155,0.999337,1
0.99585164,0.999338,1
0.0011823773,0.001342,0
0.99997365,0.999083,1
0.0084943175,0.001908,0
0.99662435,0.947651,1
0.99917936,0.999428,1
0.0015292168,0.001972,1
0.99990857,0.998166,1
9.223001e-06,0.00141,0
0.7920692,0.660642,0
0.852103,0.987984,1
0.9993628,0.991518,1
0.0008197427,0.001192,0
0.982641,0.999079,1
0.31518686,0.002004,0
0.024201661,0.01,0
0.988899,0.999366,1
0.9889486,0.999354,1
0.00045275688,0.002485,0
0.0023050904,0.001404,0
0.0011049509,0.001802,0
0.999998,0.999124,1
0.017966986,0.001367,0
0.991432,0.996016,1
0.99662685,0.999269,1
0.9995793,0.999429,1
0.8183726,0.008255,0
3.7264151e-06,0.001716,0
0.5368532,0.540243,1
0.24435577,0.989662,0
0.9999321,0.999121,1
0.19881365,0.999026,1
0.5247697,0.766827,1
0.043724447,0.484662,0
0.4821934,0.999355,1
0.59608936,0.999125,1
0.016252011,0.004939,0
0.9999981,0.999158,1
0.9999703,0.998293,1
0.6947507,0.997244,1
4.5697743e-07,0.002228,0
0.9995548,0.999242,1
0.005304277,0.000944,0
0.0021282732,0.075387,0
0.99696887,0.986151,1
0.9042425,0.99761,1
0.99875903,0.999319,1
0.015200794,0.995466,0
0.0019390285,0.017067,0
0.93730086,0.781087,1
0.0025283098,0.001481,0
0.00019022822,0.002546,0
0.27379733,0.006773,0
0.9999365,0.998884,1
0.99720204,0.999239,1
0.99891454,0.999178,1
0.012093693,0.007498,0
0.03512737,0.272403,0
0.000593096,0.001867,0
0.9999505,0.999394,1
0.99986935,0.999164,1
0.9981388,0.999386,1
0.880214,0.00853,0
0.9562441,0.998066,1
2.462936e-05,0.001566,0
0.030054659,0.061642,0
0.9982424,0.999308,1
0.23858875,0.99926,1
8.229643e-05,0.001523,0
1.8346695e-05,0.00115,0
0.9989384,0.99921,1
0.99962306,0.999173,1
0.9931625,0.99939,1
0.9998623,0.999002,1
0.9752536,0.999027,1
0.0027638674,0.001772,0
0.061236173,0.002404,0
0.039785475,0.03807,0
0.0016128123,0.015146,0
0.0005148947,0.001562,0
0.013142616,0.004466,0
0.99779594,0.00912,0
0.0095181465,0.003071,0
0.85894835,0.03993,0
0.9985907,0.999276,1
0.54334384,0.998015,0
0.012737036,0.199775,1
0.06622559,0.012883,1
0.42509398,0.997789,0
0.99883854,0.996765,1
3.655307e-05,0.001326,0
0.9971427,0.999185,1
8.905543e-06,0.001199,0
0.9999409,0.999238,1
0.0021089315,0.002332,0
4.26318e-05,0.001484,0
0.99746,0.999065,1
0.9999823,0.99907,1
0.983303,0.999295,1
1.1287595e-06,0.001053,0
0.9754976,0.999244,1
0.96267897,0.994636,1
0.0015440881,0.001649,0
0.9244709,0.99899,1
0.0043153763,0.004183,0
0.9995948,0.99921,1
0.689645,0.828908,1
4.7397472e-07,0.001747,0
0.9991286,0.975759,1
0.99992704,0.999336,1
0.99663645,0.999334,1
0.9999745,0.999112,1
0.2545452,0.985112,1
0.99955684,0.999338,1
5.12904e-05,0.001006,0
0.62404734,0.998962,1
0.55024946,0.004908,1
0.5919236,0.999303,1
0.0035930574,0.002295,0
0.89409554,0.032215,0
0.9217428,0.996942,1
0.9137355,0.998966,1
3.9644394e-05,0.000855,0
0.99968374,0.999314,1
0.9998245,0.999185,1
8.910224e-06,0.001737,0
0.010007083,0.001474,0
0.9988542,0.998625,1
0.7993354,0.999373,1
0.99267805,0.999033,1
7.347774e-07,0.000903,0
9.288661e-05,0.004563,0
5.69169e-07,0.035932,0
0.5472832,0.997705,1
0.997617,0.99924,1
1.808975e-05,0.001334,0
4.6114656e-05,0.001462,0
0.45577174,0.074469,1
0.9838148,0.998855,1
0.98262703,0.999275,1
0.99974656,0.999332,1
0.99993443,0.999431,1
0.28730857,0.999407,1
0.002497673,0.738494,1
9.654705e-06,0.001404,0
0.96494,0.997967,0
0.016609162,0.001135,0
0.95536524,0.999168,1
1.3087904e-05,0.001214,0
0.9752546,0.999249,1
0.99998474,0.999203,1
0.07980287,0.344392,0
1.1847385e-06,0.001603,0
0.99803317,0.999454,1
0.999995,0.998858,1
0.06881711,0.004264,0
0.007353604,0.103821,1
0.1467633,0.008576,0
0.9999811,0.99913,1
0.0005622506,0.003458,0
0.004979998,0.009674,0
0.9984672,0.999263,1
8.9147245e-05,0.000871,0
0.0011428595,0.001247,0
0.00012931228,0.001182,0
0.005167216,0.260051,1
1.1036582e-05,0.00282,0
1.0757534e-05,0.000775,0
0.99908435,0.999257,1
0.99969065,0.999211,1
0.43278903,0.990308,1
0.9853194,0.998909,1
0.9918535,0.999304,0
0.99993646,0.999352,1
0.00012188971,0.00595,0
0.9993427,0.067305,1
0.9999934,0.99926,1
3.2859087e-05,0.000781,0
0.015487194,0.004616,0
1.8658205e-06,0.001937,0
0.98422486,0.99918,1
4.3533913e-07,0.00098,0
0.96894866,0.999102,1
0.99997234,0.999344,1
3.780168e-05,0.000972,0
0.003605336,0.00207,0
0.99989974,0.999316,1
1.0555754e-05,0.001031,0
2.5842259e-05,0.001736,0
0.8068931,0.158682,0
0.06537333,0.084896,0
2.9853227e-06,0.001191,0
0.9047735,0.507665,1
0.99982804,0.999154,1
0.024861157,0.015615,0
0.071083754,0.003274,0
0.00018778443,0.000714,0
0.85884076,0.309683,1
0.99909,0.998904,1
0.9999909,0.99889,1
0.07668859,0.001265,0
0.9999066,0.999259,1
0.98627615,0.99941,1
0.000177145,0.000848,0
0.0014941394,0.000957,0
0.00010268166,0.00248,0
0.99906707,0.997588,1
0.45546517,0.990579,1
1.7399836e-06,0.00077,0
0.9998007,0.999311,1
0.00073480606,0.001747,0
0.9964855,0.999252,1
0.00023937225,0.001583,1
0.96360224,0.843583,0
0.97977734,0.998941,1
0.009634167,0.010474,0
0.999913,0.963424,1
0.9979615,0.999183,1
0.027192146,0.963052,1
0.99881285,0.999152,1
0.99963796,0.999434,1
0.056271434,0.006957,0
0.99977404,0.999321,1
0.00016415119,0.107129,0
0.3314629,0.000894,0
3.644242e-05,0.00252,0
0.5624059,0.987311,1
0.9941961,0.999291,1
0.0019510388,0.087546,0
0.001650095,0.001081,0
0.0025671124,0.001828,0
0.062156886,0.041274,0
0.0002963543,0.003061,0
0.99703985,0.999328,1
0.98983085,0.99932,1
0.9534992,0.999076,0
0.0017548501,0.001624,0
5.4797823e-05,0.001153,0
0.99989,0.999051,1
0.57836604,0.002998,0
0.0040139854,0.00742,0
0.0002206564,0.001095,0
0.97591925,0.9972,1
0.0002850592,0.001686,0
0.36923105,0.954668,1
0.00029277802,0.001321,0
0.97328657,0.999315,1
0.833159,0.998029,1
0.98337007,0.999191,1
0.29328173,0.004513,0
0.6949036,0.999398,0
0.016472757,0.01108,0
0.9938267,0.999412,1
0.9991078,0.999189,1
0.9998004,0.99908,1
0.0002734363,0.00205,0
1.6874297e-06,0.001231,0
0.99999475,0.999122,1
0.98133194,0.999297,1
0.00011168685,0.001255,0
0.0033085644,0.001169,0
0.9995872,0.998991,1
0.01304546,0.477002,0
0.00022491813,0.001593,0
0.99765575,0.999262,1
0.18473151,0.024173,0
0.9873916,0.999133,1
0.9979235,0.999346,1
0.98798776,0.998871,1
0.9991559,0.984538,1
0.48954758,0.001206,0
0.00017935038,0.001122,0
0.3261009,0.018098,0
0.99984586,0.999287,1
0.9950305,0.999316,1
0.10815346,0.011655,0
0.38818765,0.998814,1
0.91072476,0.999229,1
0.0007440746,0.050297,0
0.012883723,0.002222,0
1.3477197e-06,0.001061,0
0.7607956,0.993524,0
0.99166554,0.742937,1
0.84059167,0.998953,1
0.28188056,0.94218,0
0.99997926,0.999249,1
0.9966427,0.999264,1
8.2611984e-07,0.002111,0
0.000931859,0.00313,0
0.19164005,0.996629,0
0.99110353,0.999231,1
0.0016491711,0.008049,0
0.0730716,0.027001,0
0.33692595,0.026766,0
0.9996947,0.999344,1
0.0007916391,0.008089,0
0.002540052,0.015722,0
4.1425446e-06,0.000843,0
0.99955124,0.999134,1
0.9837283,0.999047,1
0.99989206,0.999328,1
0.027226537,0.317784,0
0.9934646,0.002384,0
0.0021952093,0.011147,0
0.9937956,0.999314,1
0.00012238871,0.001582,0
0.9985315,0.999361,1
0.95735717,0.012258,0
0.00023567677,0.003818,0
0.986237,0.998924,1
0.6058689,0.435005,1
0.69794846,0.094999,1
0.019883722,0.999212,1
0.5898282,0.976045,0
0.0071769953,0.002206,0
0.028898269,0.001861,0
0.999938,0.998753,1
0.4720479,0.020469,1
0.94845974,0.99932,1
0.0009313226,0.004277,0
0.71590894,0.9993,0
0.7490275,0.988943,1
0.9978113,0.998902,1
0.00018435717,0.003154,0
0.99984574,0.999023,1
0.9744397,0.999026,1
0.005371839,0.001249,0
0.86661077,0.999073,1
0.0003376305,0.00141,0
0.71214604,0.999394,1
0.30570185,0.999388,1
0.025268286,0.003817,0
0.32200474,0.997176,1
0.008858025,0.01018,0
0.99990964,0.268739,1
4.30882e-05,0.000921,0
0.00027307868,0.005961,0
1.05052595e-05,0.002132,1
1.4946313e-07,0.002067,0
0.34265372,0.99938,1
0.0047349036,0.001323,0
0.99973905,0.797652,1
0.04257077,0.978155,0
0.0012064874,0.003071,0
0.00021386147,0.003248,0
6.2315165e-05,0.000678,0
0.35535318,0.001812,0
0.9712747,0.999325,1
0.037020832,0.728686,0
0.0101720095,0.001868,0
0.009861827,0.059394,0
0.97724557,0.989585,1
0.8904832,0.99932,1
0.79885554,0.999262,1
0.88861036,0.979262,1
0.2671467,0.060181,0
5.4119653e-05,0.001628,0
0.27836984,0.007566,0
0.8355199,0.002723,0
0.0131188035,0.852401,1
0.99894893,0.999052,1
0.00018411875,0.00151,0
0.99995875,0.999037,1
0.043748587,0.003123,0
0.9999555,0.999312,1
2.0556818e-06,0.001658,0
0.99816954,0.999324,1
0.0023984313,0.001296,0
0.7227348,0.999296,1
3.7952128e-07,0.001135,0
0.99983895,0.998523,1
3.3495528e-06,0.001199,0
0.99605083,0.999222,1
0.996228,0.998845,1
0.6419157,0.999376,1
0.9863533,0.998827,1
0.3306358,0.00977,0
0.23507455,0.296059,0
0.6191943,0.999219,1
0.9999827,0.999027,1
0.99978006,0.999179,1
0.7428024,0.997979,1
0.9933075,0.647213,1
0.015832365,0.432337,0
0.00069624186,0.03358,0
0.015798569,0.720941,0
0.9998454,0.999161,1
0.006667912,0.00232,0
0.0013315082,0.001125,0
4.6383706e-05,0.00299,0
0.7971287,0.851852,1
0.02290237,0.00377,0
0.00012871623,0.001298,0
0.9999299,0.998943,1
0.30647594,0.004506,0
0.0019373,0.028946,0
0.00030696392,0.001629,0
0.006324291,0.077915,0
0.1601147,0.009142,0
2.2898369e-06,0.001151,0
5.8452373e-05,0.001262,0
0.9686768,0.37297,1
0.99935055,0.999282,1
4.2765976e-05,0.002534,0
0.039865434,0.002007,0
0.0048733354,0.001384,0
0.9995369,0.99909,1
0.0021239817,0.002066,0
0.9048227,0.999168,1
0.0017862618,0.001604,0
0.9971365,0.649802,1
0.9852469,0.157627,0
0.99810815,0.999383,1
0.99687064,0.310586,1
0.9999155,0.998466,1
0.54321146,0.759391,1
0.999665,0.999232,1
0.32850245,0.964527,1
0.9897038,0.999289,1
